
Algorithm,MergeSort
Average Comparisons,9.83

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,7,"[1, 2, 3, 4, 5, 6]"
2,7,"[1, 2, 3, 4, 6, 5]"
3,7,"[1, 3, 2, 4, 5, 6]"
4,7,"[1, 3, 2, 4, 6, 5]"
5,7,"[4, 5, 6, 1, 2, 3]"
6,7,"[4, 5, 6, 1, 3, 2]"
7,7,"[4, 6, 5, 1, 2, 3]"
8,7,"[4, 6, 5, 1, 3, 2]"
9,8,"[1, 2, 3, 5, 4, 6]"
10,8,"[1, 2, 3, 5, 6, 4]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,11,"[6, 4, 3, 5, 2, 1]"
2,11,"[6, 4, 3, 5, 1, 2]"
3,11,"[6, 4, 3, 2, 5, 1]"
4,11,"[6, 4, 3, 2, 1, 5]"
5,11,"[6, 4, 2, 5, 3, 1]"
6,11,"[6, 4, 2, 5, 1, 3]"
7,11,"[6, 4, 2, 3, 5, 1]"
8,11,"[6, 4, 2, 3, 1, 5]"
9,11,"[6, 4, 1, 5, 3, 2]"
10,11,"[6, 4, 1, 5, 2, 3]"

Algorithm,QuickSort
Average Comparisons,10.3

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,8,"[1, 2, 3, 4, 5, 6]"
2,8,"[1, 2, 3, 6, 5, 4]"
3,8,"[1, 2, 4, 3, 5, 6]"
4,8,"[1, 2, 4, 3, 6, 5]"
5,8,"[1, 2, 4, 5, 3, 6]"
6,8,"[1, 2, 4, 5, 6, 3]"
7,8,"[1, 2, 4, 6, 3, 5]"
8,8,"[1, 2, 4, 6, 5, 3]"
9,8,"[1, 4, 3, 2, 5, 6]"
10,8,"[1, 4, 3, 6, 5, 2]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,15,"[6, 5, 1, 2, 4, 3]"
2,15,"[6, 5, 1, 2, 3, 4]"
3,15,"[6, 3, 1, 2, 5, 4]"
4,15,"[6, 3, 1, 2, 4, 5]"
5,15,"[5, 4, 6, 3, 2, 1]"
6,15,"[5, 4, 1, 6, 3, 2]"
7,15,"[5, 3, 1, 6, 4, 2]"
8,15,"[4, 5, 6, 3, 2, 1]"
9,15,"[4, 3, 6, 5, 2, 1]"
10,15,"[4, 3, 6, 2, 5, 1]"

Algorithm,ShakerSort
Average Comparisons,13.52

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,5,"[1, 2, 3, 4, 5, 6]"
2,9,"[1, 2, 3, 4, 6, 5]"
3,9,"[1, 2, 3, 5, 4, 6]"
4,9,"[1, 2, 3, 6, 4, 5]"
5,9,"[1, 2, 4, 3, 5, 6]"
6,9,"[1, 2, 4, 3, 6, 5]"
7,9,"[1, 2, 5, 3, 4, 6]"
8,9,"[1, 2, 6, 3, 4, 5]"
9,9,"[1, 3, 2, 4, 5, 6]"
10,9,"[1, 3, 2, 4, 6, 5]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,15,"[6, 5, 4, 3, 2, 1]"
2,15,"[6, 5, 4, 3, 1, 2]"
3,15,"[6, 5, 4, 2, 3, 1]"
4,15,"[6, 5, 4, 2, 1, 3]"
5,15,"[6, 5, 4, 1, 3, 2]"
6,15,"[6, 5, 4, 1, 2, 3]"
7,15,"[6, 5, 3, 4, 2, 1]"
8,15,"[6, 5, 3, 4, 1, 2]"
9,15,"[6, 5, 3, 2, 4, 1]"
10,15,"[6, 5, 3, 2, 1, 4]"

Algorithm,HeapSort
Average Comparisons,15.13

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,12,"[6, 1, 4, 2, 3, 5]"
2,12,"[6, 1, 4, 3, 2, 5]"
3,12,"[6, 1, 5, 2, 3, 4]"
4,12,"[6, 1, 5, 3, 2, 4]"
5,12,"[6, 2, 4, 1, 3, 5]"
6,12,"[6, 2, 4, 3, 1, 5]"
7,12,"[6, 2, 5, 1, 3, 4]"
8,12,"[6, 2, 5, 3, 1, 4]"
9,12,"[6, 3, 4, 1, 2, 5]"
10,12,"[6, 3, 4, 2, 1, 5]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,17,"[5, 6, 3, 4, 2, 1]"
2,17,"[5, 6, 3, 4, 1, 2]"
3,17,"[5, 6, 3, 2, 4, 1]"
4,17,"[5, 6, 3, 1, 4, 2]"
5,17,"[5, 6, 2, 4, 3, 1]"
6,17,"[5, 6, 2, 4, 1, 3]"
7,17,"[5, 6, 2, 3, 4, 1]"
8,17,"[5, 6, 2, 1, 4, 3]"
9,17,"[5, 6, 1, 4, 3, 2]"
10,17,"[5, 6, 1, 4, 2, 3]"
