
Algorithm,MergeSort
Average Comparisons,15.73

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,12,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,12,"[1, 2, 3, 4, 5, 6, 8, 7]"
3,12,"[1, 2, 3, 4, 6, 5, 7, 8]"
4,12,"[1, 2, 3, 4, 6, 5, 8, 7]"
5,12,"[1, 2, 3, 4, 7, 8, 5, 6]"
6,12,"[1, 2, 3, 4, 7, 8, 6, 5]"
7,12,"[1, 2, 3, 4, 8, 7, 5, 6]"
8,12,"[1, 2, 3, 4, 8, 7, 6, 5]"
9,12,"[1, 2, 4, 3, 5, 6, 7, 8]"
10,12,"[1, 2, 4, 3, 5, 6, 8, 7]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,17,"[8, 5, 6, 4, 7, 2, 3, 1]"
2,17,"[8, 5, 6, 4, 7, 2, 1, 3]"
3,17,"[8, 5, 6, 4, 7, 1, 3, 2]"
4,17,"[8, 5, 6, 4, 7, 1, 2, 3]"
5,17,"[8, 5, 6, 4, 3, 2, 7, 1]"
6,17,"[8, 5, 6, 4, 3, 2, 1, 7]"
7,17,"[8, 5, 6, 4, 3, 1, 7, 2]"
8,17,"[8, 5, 6, 4, 3, 1, 2, 7]"
9,17,"[8, 5, 6, 4, 2, 7, 3, 1]"
10,17,"[8, 5, 6, 4, 2, 7, 1, 3]"

Algorithm,QuickSort
Average Comparisons,16.92

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,13,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,13,"[1, 2, 3, 4, 5, 6, 8, 7]"
3,13,"[1, 2, 3, 4, 5, 7, 6, 8]"
4,13,"[1, 2, 3, 4, 5, 7, 8, 6]"
5,13,"[1, 2, 3, 4, 6, 7, 5, 8]"
6,13,"[1, 2, 3, 4, 6, 7, 8, 5]"
7,13,"[1, 2, 3, 4, 7, 6, 5, 8]"
8,13,"[1, 2, 3, 4, 7, 6, 8, 5]"
9,13,"[1, 2, 3, 4, 8, 6, 5, 7]"
10,13,"[1, 2, 3, 4, 8, 6, 7, 5]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,28,"[8, 7, 6, 1, 2, 5, 4, 3]"
2,28,"[8, 7, 5, 1, 2, 6, 4, 3]"
3,28,"[8, 7, 5, 1, 2, 4, 6, 3]"
4,28,"[8, 7, 5, 1, 2, 3, 4, 6]"
5,28,"[8, 7, 4, 1, 2, 5, 6, 3]"
6,28,"[8, 7, 4, 1, 2, 5, 3, 6]"
7,28,"[8, 7, 4, 1, 2, 3, 5, 6]"
8,28,"[8, 7, 3, 1, 2, 5, 4, 6]"
9,28,"[8, 3, 7, 1, 2, 5, 4, 6]"
10,28,"[8, 3, 6, 1, 2, 7, 4, 5]"

Algorithm,ShakerSort
Average Comparisons,24.72

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,7,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,13,"[1, 2, 3, 4, 5, 6, 8, 7]"
3,13,"[1, 2, 3, 4, 5, 7, 6, 8]"
4,13,"[1, 2, 3, 4, 5, 8, 6, 7]"
5,13,"[1, 2, 3, 4, 6, 5, 7, 8]"
6,13,"[1, 2, 3, 4, 6, 5, 8, 7]"
7,13,"[1, 2, 3, 4, 7, 5, 6, 8]"
8,13,"[1, 2, 3, 4, 8, 5, 6, 7]"
9,13,"[1, 2, 3, 5, 4, 6, 7, 8]"
10,13,"[1, 2, 3, 5, 4, 6, 8, 7]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,28,"[8, 7, 6, 5, 4, 3, 2, 1]"
2,28,"[8, 7, 6, 5, 4, 3, 1, 2]"
3,28,"[8, 7, 6, 5, 4, 2, 3, 1]"
4,28,"[8, 7, 6, 5, 4, 2, 1, 3]"
5,28,"[8, 7, 6, 5, 4, 1, 3, 2]"
6,28,"[8, 7, 6, 5, 4, 1, 2, 3]"
7,28,"[8, 7, 6, 5, 3, 4, 2, 1]"
8,28,"[8, 7, 6, 5, 3, 4, 1, 2]"
9,28,"[8, 7, 6, 5, 3, 2, 4, 1]"
10,28,"[8, 7, 6, 5, 3, 2, 1, 4]"

Algorithm,HeapSort
Average Comparisons,25.81

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,21,"[8, 1, 4, 2, 7, 5, 6, 3]"
2,21,"[8, 1, 4, 2, 7, 6, 5, 3]"
3,21,"[8, 1, 4, 3, 7, 5, 6, 2]"
4,21,"[8, 1, 4, 3, 7, 6, 5, 2]"
5,21,"[8, 1, 5, 2, 7, 4, 6, 3]"
6,21,"[8, 1, 5, 2, 7, 6, 4, 3]"
7,21,"[8, 1, 5, 3, 7, 4, 6, 2]"
8,21,"[8, 1, 5, 3, 7, 6, 4, 2]"
9,21,"[8, 1, 6, 2, 7, 4, 5, 3]"
10,21,"[8, 1, 6, 2, 7, 5, 4, 3]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,29,"[6, 7, 3, 8, 5, 2, 1, 4]"
2,29,"[6, 7, 3, 8, 5, 1, 2, 4]"
3,29,"[6, 7, 3, 8, 4, 2, 1, 5]"
4,29,"[6, 7, 3, 8, 4, 1, 2, 5]"
5,29,"[6, 7, 3, 5, 4, 2, 1, 8]"
6,29,"[6, 7, 3, 5, 4, 1, 2, 8]"
7,29,"[6, 7, 3, 4, 5, 2, 1, 8]"
8,29,"[6, 7, 3, 4, 5, 1, 2, 8]"
9,29,"[6, 7, 2, 8, 5, 3, 1, 4]"
10,29,"[6, 7, 2, 8, 5, 1, 3, 4]"
